address,propertyType,images,hasFloorPlan,location,detailUrl,displayPrice,dateSold,tenure,newBuild,numericPrice,address_1,address_2,address_3,address_4,number,postcode
"61, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319110?s=82024929c5eb57d12bf4c60cb5088e731ab924f5ecefefc23c177de7a7b4b0f5,"£132,500",14 Mar 2002,Leasehold,True,132500,Morley Mills,Morley Street,Daybrook,Nottingham,61,NG5 6JL
"21, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88223187?s=ce44608732ec528bfcf80e0256f5965080f4cadfb53ce9c40a3c75ea8dccc1f5,"£92,500",31 Mar 2016,Leasehold,False,92500,Morley Mills,Morley Street,Daybrook,Nottingham,21,NG5 6JL
"21, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88223187?s=ce44608732ec528bfcf80e0256f5965080f4cadfb53ce9c40a3c75ea8dccc1f5,"£100,000",13 Dec 2001,Leasehold,False,100000,Morley Mills,Morley Street,Daybrook,Nottingham,21,NG5 6JL
"33, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319107?s=18cf3882b11412378e9101a7f4be181ff4cbff17bd6d5f11912fd4040a90d841,"£115,300",24 Mar 2016,Leasehold,False,115300,Morley Mills,Morley Street,Daybrook,Nottingham,33,NG5 6JL
"33, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319107?s=18cf3882b11412378e9101a7f4be181ff4cbff17bd6d5f11912fd4040a90d841,"£110,000",3 Jun 2009,Leasehold,False,110000,Morley Mills,Morley Street,Daybrook,Nottingham,33,NG5 6JL
"33, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319107?s=18cf3882b11412378e9101a7f4be181ff4cbff17bd6d5f11912fd4040a90d841,"£128,000",30 Sep 2005,Leasehold,False,128000,Morley Mills,Morley Street,Daybrook,Nottingham,33,NG5 6JL
"33, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319107?s=18cf3882b11412378e9101a7f4be181ff4cbff17bd6d5f11912fd4040a90d841,"£95,000",26 Jun 2001,Leasehold,False,95000,Morley Mills,Morley Street,Daybrook,Nottingham,33,NG5 6JL
"25, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026850?s=899be06f10b6d8a9c8a5000163c07ff2eae3a3f361f1bb7db5e57f9fdb6b77a9,"£110,500",17 Jul 2015,Leasehold,False,110500,Morley Mills,Morley Street,Daybrook,Nottingham,25,NG5 6JL
"25, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026850?s=899be06f10b6d8a9c8a5000163c07ff2eae3a3f361f1bb7db5e57f9fdb6b77a9,"£128,500",31 Oct 2003,Leasehold,False,128500,Morley Mills,Morley Street,Daybrook,Nottingham,25,NG5 6JL
"25, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026850?s=899be06f10b6d8a9c8a5000163c07ff2eae3a3f361f1bb7db5e57f9fdb6b77a9,"£75,000",25 Jun 2001,Leasehold,True,75000,Morley Mills,Morley Street,Daybrook,Nottingham,25,NG5 6JL
